chemin du ficher,nom du paquet,nom de la classe,NOC,WMC,CBO,CC,RFC
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\DateAxis.java,src.main.java.org.jfree.chart.axis,DateAxis.java,1,15,31,207.0,198.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\ValueAxis.java,src.main.java.org.jfree.chart.axis,ValueAxis.java,9,34,27,206.0,190.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\data\xy\XYSeriesTest.java,src.test.java.org.jfree.data.xy,XYSeriesTest.java,0,36,12,36.0,184.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\category\AbstractCategoryItemRenderer.java,src.main.java.org.jfree.chart.renderer.category,AbstractCategoryItemRenderer.java,8,22,57,184.0,174.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\test\java\org\jfree\chart\plot\CategoryPlotTest.java,src.test.java.org.jfree.chart.plot,CategoryPlotTest.java,0,37,48,31.0,167.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\PolarPlot.java,src.main.java.org.jfree.chart.plot,PolarPlot.java,0,43,42,248.0,159.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\CategoryAxis.java,src.main.java.org.jfree.chart.axis,CategoryAxis.java,2,17,32,151.0,154.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\renderer\AbstractRenderer.java,src.main.java.org.jfree.chart.renderer,AbstractRenderer.java,4,78,26,354.0,148.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\axis\PeriodAxis.java,src.main.java.org.jfree.chart.axis,PeriodAxis.java,0,14,26,126.0,143.0
C:\Users\jenny\Documents\UdeM\Fall2022\IFT3913\TP2_IFT3913\jfreechart-master\src\main\java\org\jfree\chart\plot\ThermometerPlot.java,src.main.java.org.jfree.chart.plot,ThermometerPlot.java,0,35,33,174.0,142.0
